"Sample_ID","Centroid.X","Centroid.Y","Mass","Width","Depth","Orientation..0","Orientation..1","Orientation..2","Orientation..3","Orientation..4","Orientation..5","Orientation..6","Orientation..7","Orientation..8","Orientation..9","Leaf.weight","Leaf.Area","Leaf.Hue","Class"
41,0.0118149205195243,0.0172839825889005,2.21732868457117e-05,0.0150304482483053,0.0486425822077667,1.86659803062893e-05,1.34553349488977e-05,7.89851416748135e-06,5.4024761863698e-06,4.26076896942984e-06,3.42339831429567e-06,3.49860739618731e-06,3.80652998739525e-06,4.19839442709745e-06,4.86310005902006e-06,0,0.568091050142388,0.00386475669900981,"A"
42,0.0109754100982912,0.0188543708603847,2.16396015427821e-05,0.00990205970851357,0.0479888995870092,1.04453385084661e-05,1.03721390480108e-05,8.68288730951024e-06,6.22944860669354e-06,5.16326301612954e-06,4.1948977358164e-06,4.49128563628615e-06,5.08966681383165e-06,6.34553953528606e-06,8.4375594797979e-06,0,0.461174969230503,0.00455481939075804,"A"
43,0.0106141771299327,0.017873058742633,3.34024745552197e-05,0.0156073381404555,0,1.64811497943454e-05,1.27674967180102e-05,9.7690176008749e-06,6.43139305284443e-06,4.54165441338644e-06,3.02351810546196e-06,3.42579891158394e-06,3.72797475520888e-06,4.13978987011176e-06,5.15237446369956e-06,0,0.713515035044118,0.00422645369623836,"A"
44,0.0121240477720778,0.0170981269379951,2.4092330611923e-05,0.0114485465660621,0.0340506095148541,1.82381039895327e-05,1.2679608917248e-05,8.41860333378982e-06,5.4475410161856e-06,4.51713102967476e-06,3.55653649862289e-06,3.50563822295415e-06,3.61079697210266e-06,4.35095177343364e-06,5.12973503061471e-06,2.08409302721307e-06,0.486685365644858,0.00414017621649835,"A"
45,0.0109947001437901,0.0164734592479308,2.69669955685256e-05,0.0183034675450317,0.0441316735504387,1.95737371047013e-05,1.40177073755283e-05,8.86332287357378e-06,5.49514941207135e-06,4.34706987229138e-06,3.10638727127512e-06,3.06287578546227e-06,3.22804245037124e-06,3.6390977049564e-06,4.12993961282794e-06,2.77879070295076e-06,0.70278964347845,0.00451837350410949,"A"
46,0.00923328837928464,0.0193956786363037,2.17760402357667e-05,0.0142405837503999,0.0490103829938381,1.73051839213799e-05,1.2018228247341e-05,8.38973190679546e-06,5.32724501309207e-06,4.46995605566891e-06,3.50608616401546e-06,3.70054982771494e-06,4.14100739725825e-06,4.86468987465098e-06,5.74986309367127e-06,2.77879070295076e-06,0.607049386935171,0.00400115620201447,"A"
47,0.011844028275721,0.0171151161795269,2.21200046454989e-05,0.0154732899785898,0.0485481923910554,1.86672325683196e-05,1.34462123874292e-05,7.89835515118337e-06,5.39431522542407e-06,4.24732309591594e-06,3.42993257116389e-06,3.49532897891597e-06,3.78101568691889e-06,4.19944355952735e-06,4.86813682557846e-06,1.38939535147538e-06,0.565168843133528,0.00384311515259141,"A"
48,0.011003769977705,0.0187492038999096,2.16330964632163e-05,0.00989450908810481,0.0479964559386738,1.04443654454317e-05,1.0373682457837e-05,8.70027844059443e-06,6.23435629842378e-06,5.16536544917539e-06,4.19516116517503e-06,4.49121630545811e-06,5.09124989089512e-06,6.35311479662137e-06,8.42002850607159e-06,2.77879070295076e-06,0.467125683941411,0.0045497928883578,"A"
49,0.0103553128033947,0.017756367491044,3.34201876786765e-05,0.0158181165845544,0.0481556729139678,1.64753466373111e-05,1.27838986690739e-05,9.77265017502133e-06,6.41713792600806e-06,4.54000422852749e-06,3.01346527433589e-06,3.4082345923692e-06,3.73550374967899e-06,4.16247265233157e-06,5.1475452033369e-06,6.9469767573769e-07,0.71594826714511,0.004272685646632,"A"
50,0.0121222906732465,0.0169530682903633,2.41338922897694e-05,0.0118490970053194,0.0339970576955263,1.82416606332231e-05,1.2692595387189e-05,8.42223694998276e-06,5.44181385907705e-06,4.51864456750089e-06,3.5576841391832e-06,3.4984662336196e-06,3.62697113179849e-06,4.33707629887706e-06,5.140539802505e-06,2.77879070295076e-06,0.483715560868986,0.00413363558230547,"A"
